episode,scene_index,scene_id,content_state,has_transcript,x,y,entities,dialogue_hints,artifact_hints
"01x01 - Good News, Bad News",30,da450f1716b6a280a4c7f4790fc001da126b45e9f1e6b201c6313fcf37d1b5ce,signal,1,-8.794756,-10.700854,The; Have; What; This; How; Men,,
"01x01 - Good News, Bad News",31,58fed65d05b2ee52eea5b2d1e9f99a11c20f684ef9f582a01ba8910c1e3f5019,signal,1,-9.250733,-11.217699,Whatever; Now; Okay; That's; We're; Thank,,
"01x01 - Good News, Bad News",32,baa5775dcf9360a44eafd6961ac625c883227f86e03ba16678b41a8eaf75b5dd,empty,0,-14.868998,-10.832252,,,
01x02 - The Stakeout,0,7ce8e44e4d84c39e33e7687157debe4d46303ca8e2bcfc40e712143b163e2456,signal,1,-10.182422,-12.014683,I'm; Two; One; The; They; You,,
01x02 - The Stakeout,1,d3428ed1707f993035139430db8c6fc62cf7c242bd125034d0e5fccb074d0309,signal,1,-10.296573,-12.559086,But; Who; There's; I'm,,
01x02 - The Stakeout,2,4d763932fdce8154c0d979b6a233ec49edcf38bc2197aa6d2a72fce70bcda539,signal,1,-0.524037,-11.927186,Chinese,,
01x02 - The Stakeout,3,f3c1cac7b0a7121a507f5975771233abb0ac2c6b464b2457dee661eeaad85bc6,signal,1,-0.330286,-10.924531,Stevens; Pamela,,
01x02 - The Stakeout,4,4d26f2182c6fd2f3662b645c6b42c3f55fc556b401c13b1d2bd70063a0ed987a,signal,1,0.061937,-11.619953,Riverside Drive,,
01x02 - The Stakeout,5,f5320ab129c93251bf513ad3d6cf68b22cc3410c69f25d3cbc6720911566fb44,signal,1,0.098668,-11.127247,Saturday; Have; You; They're; Yeah; Hey,,
01x02 - The Stakeout,6,23f9e7f0cd95efe68bedd34d77b3a65a8c45ea165ff823f26f368f33c02cbbba,signal,1,11.667855,-4.237346,Pamela; Jerry; Elaine,,
01x02 - The Stakeout,7,9234813b5963a99543fe0ca921b614c0ceac8c4fd065697128159c4a42649096,signal,1,11.756557,-5.444332,I'm; I'll; Uh-oh; Why,,
01x02 - The Stakeout,8,a65bf806c0ebfa21b95d6ca5141d1619054d59dce923adf8c32c08902c2bda80,signal,1,10.321779,-6.641769,B; Brooke; Jerry,,
01x02 - The Stakeout,9,5bb55cbc7d670a3cf5c2214da4f6dfe3b4cc9f76165a19e7f6068b90da02a18d,signal,1,10.197425,-6.108027,Cherry,,
01x02 - The Stakeout,10,d8277341e8493edd5cb73094b235f0217f0011ca09e762bb9e9ac495ea4dc6e6,signal,1,10.760247,-5.981475,Elaine; Pamela; Sa; Bennett Robbins; Oppenheim Attack,,
01x02 - The Stakeout,11,de7052843acdc8d7fb25036b619e03c4f084597daab2365914f1592b027d1037,signal,1,10.580022,-5.147499,Ted,,
01x02 - The Stakeout,12,cbdac44809dc363761418c69e9d699abe6b4431ed47bb1af28d17726a5d0cc96,signal,1,0.195676,-7.407411,You; Why; Well; I'm,,
01x02 - The Stakeout,13,c203c4faf8b1f89ac585de4d26706a366139435d1751fb6f4332f6efcdc7630a,signal,1,-10.347533,-6.609931,Plato,,
01x02 - The Stakeout,14,3d9c5e56dc5974c5fc492382473957992d0ac6285443fff0bd7b34ff5bbf79cc,signal,1,-10.225223,-6.137650,Rico,,
01x02 - The Stakeout,15,1affba8e47a29d5ac697eecac3e92ff17d4ea376dcb0f041d176b13086c56e62,signal,1,-6.679596,3.843737,Jerry; Kramer; Aaron,,
01x02 - The Stakeout,16,75dab7aa74e1aa83c184cc00f67a0d1b291a256de38650c3787595dae6e53387,signal,1,-6.170600,3.070249,Elaine; Marilyn,,
01x02 - The Stakeout,17,1813cee465fb957640b8a7e200ab41c6e86c48590f0264d383fa14ac62ad6559,signal,1,-7.347407,2.155499,You; Well; And; She,,
01x02 - The Stakeout,18,d81222a0249c699d93bb5ee5982e48066152b356efe99e12e2f41a085562bb64,signal,1,-7.128180,2.689596,Jerry; Sophia Lo; Lo; ##nn; ##ie Anderson; Elaine,,
01x02 - The Stakeout,19,009ba03bb90845030f6a5105e99e849c7647641df15faccd2f406e11660cb950,signal,1,-5.765706,2.380585,Elaine,,
01x02 - The Stakeout,20,304e8568dd01c8912b377d912c7e63af45074b8fc377c056ceee0a0db730f7f3,signal,1,-5.435778,1.900238,Elaine,,
01x02 - The Stakeout,21,21f629060a48804a8e97342851bfa6d5e4c9a46dda8c4b44c768915f559e8645,signal,1,-0.518315,1.294039,Lo; ##nn; ##ie Anderson; 48th Street,,
01x02 - The Stakeout,22,1e3d2f689f80d88ec17880fe06a86c3bab63a02490f0aa3a7c2f6d9a8fea453a,signal,1,-0.255395,0.849542,You; What; I'm; You're; Just; She's,,
01x02 - The Stakeout,23,e14a2ebecf50372a5a6bfc343b446b05dc98699c5b429afe3747c49a5611ccb6,signal,1,0.442695,0.783219,Bert Harvinson; Art; Core; Art Core,,
01x02 - The Stakeout,24,dd7c65cadb4a4cdfd7e27259d5bc79597ed70e4ec13dc561f8012d91f47b39ad,signal,1,0.361787,1.828305,Lane; Art Corvalle; Van Delay; Corvalle,,
01x02 - The Stakeout,25,9edc79cd4c2863100b9fe7121b16159c28d197db0c3e39b63337b5bd45d95094,signal,1,1.084600,2.574692,Pam; Jerry; George; Vanessa,,
01x02 - The Stakeout,26,576b906f29e80fe0d32af739a4d1873a2d70d3594fcd57d3926fa39d96aca105,signal,1,1.443368,1.225939,Boston,,
01x02 - The Stakeout,27,15d4779677933aae8490d0dbd2cb07d503f89c52b896d5aab33ec0852474d9e1,signal,1,5.949615,-1.987590,And; What,,
01x02 - The Stakeout,28,d728de4c751248f49ee2e7e3ba291384ca3d127b33d8c74860b2a8963aa179a3,signal,1,-3.806498,3.984191,Kramer; Marty,,
01x02 - The Stakeout,29,f2051dc866eb1f6cd7e61c889b12b6c0886d4fd6a9adf448ff4868cb8e062bc6,signal,1,-3.583006,5.165996,Vanessa; Z,,
01x02 - The Stakeout,30,e833f60becc16d28f866e0b4676c642557ccd56455fb2eb8dc13fc3c80f05c7a,signal,1,-3.757380,5.465678,Pam,,
01x02 - The Stakeout,31,8e33f4a0e96594f53462b5c5dd77995d71db61691f76d303fad51454bd21cb0c,signal,1,-2.584422,3.820930,Quone; I'm; That's; Quone's; Sorry; There,,
01x02 - The Stakeout,32,ec2d8b4352509173fb7b965b9d32dbe87748cf88d0e2106312efb1b1d8848a37,signal,1,4.753376,2.605973,Jerry,,
01x02 - The Stakeout,33,3def8518559c4e00ca0c84f934ff4280a2a1b44ce415f0c76ddcd941a599b0d4,signal,1,3.938859,2.387016,Mack; Jerry Seinfeld; Elaine Venice; Jerry,,
01x02 - The Stakeout,34,7436b8de916c458ce8db106e84ba35cd7b58ad3b0b80c9cb2a135f6316ce1d5e,signal,1,2.373222,4.375862,Jerry; Elaine; Art; ##ie Levine; Levine,,
01x02 - The Stakeout,35,d7bed5a829f6f5344a14dad914c917ebfec6d67c9fd77db4878f38394845a040,signal,1,2.185450,4.330709,Jerry Kuga; Mellon,,
01x02 - The Stakeout,36,173586dcca6f77a247d39e3128d41b214608ead1377024737d5db48f7464275c,signal,1,2.900538,2.277863,Elaine Marie Bennett; Wall Street,,
01x02 - The Stakeout,37,6ff12f32bc903fee4e3319eb59d2f7c4f9616baf3ed0788abcdc0462d3487639,signal,1,-12.559282,-7.536865,Connecticut; LA,,
01x02 - The Stakeout,38,aaa8265b2387c3bacc2a2e53196f91668677fe118b03a6f432057398d1f65a6f,empty,0,-14.130566,-9.451837,,,
01x03 - The Robbery,0,e702a2b70ad53d2a201782df8278cb81775f057f190b6a048313fa3d19d2a417,signal,1,-10.987516,-10.186517,It's; What; Someone; I'm; Because,,
01x03 - The Robbery,1,2983f1d4fcc20e95556d96177b61b0af169f9d76b7c20beeb17a8d57d3b0322b,signal,1,-7.270554,-4.386099,You; That; That's; Done,,
01x03 - The Robbery,2,c23f3decb126cd465d8b973afb6a1f4409d50db2df080e59d3a4ce0d27864ca9,signal,1,4.503022,6.737340,Elaine; Master Pack; George,,
01x03 - The Robbery,3,f2658a03a94d4ed836b38673da898d1c43398554113906e6a7821f7075f65ae8,signal,1,1.162014,15.207665,Venice,,
01x03 - The Robbery,4,67e80f62720cfb6acc818810fe4c18affa60028f8f68edb05d46a1d51fee4dca,signal,1,1.405120,10.907874,Emily; God,,
01x03 - The Robbery,5,4cccb6d1735238e3eb61749c4ae83ee09bc2ef1ab2ba0713b2f5741adb71b103,signal,1,1.156731,11.808429,George,,
01x03 - The Robbery,6,98a8bf5f74198f217735ee23ddc0ef2ef94f3935fb78d106c3e049bfced48b4f,signal,1,4.430085,7.358147,Jerry; Iceland; Finland,,
01x03 - The Robbery,7,6912487dc1c35ed133603e7019120d00f276aae9c9668de7ad3006d60e214a95,signal,1,1.328338,9.471804,Minneapolis,,
01x03 - The Robbery,8,d1ca054b7f4e27eb803282f73db3fa06d8df88b536500c5dae36903038c6c999,signal,1,3.204384,9.602926,VC,,
01x03 - The Robbery,9,212fc5976a93bb008559625811060ae48fb6298c247bf29869f5130a6986161d,signal,1,7.235304,7.024471,Bloomingdale; ' s; Jerry,,
01x03 - The Robbery,10,842662d891820da1732eaa1349a73dca5c37c50f80e3441e056b5b8cc8eacd48,signal,1,7.008833,7.655553,Clap Go D29; Jerry,,
01x03 - The Robbery,11,f3d8bcde87220a61d6f06af43800351bc4dd9484e006487ba14fa1d0f4ed4922,signal,1,4.457775,9.677396,TV Stario; Se; ##feld,,
01x03 - The Robbery,12,09c74a9e4de0124995646e13d00565376796ce000388fe4bcbd41268392932c1,signal,1,5.261786,8.974868,Ya,,
01x03 - The Robbery,13,91a51e92369dd4b631d43fb2a2fae40b5379d37812df61549ede0dfd340845d7,signal,1,-4.597281,-6.080465,George; Ethel Merman,,
01x03 - The Robbery,14,c8ea232bfa10d75c53f4c9e77ab66907b865a07cad9bd29fbbeecc96b18868a3,signal,1,-10.000044,-8.042159,Batman; Sony,,
01x03 - The Robbery,15,20f4e835d8d926f77f5c370eb975285c47914572fa70f22786956c8f4986c53d,signal,1,8.954438,12.363835,Well; Come; This; Are; Does; That's,,
01x03 - The Robbery,16,b913164930dfc1cdead527024dca0c1a2b74ce69ee56ac02d45dbc27a159fe2a,signal,1,9.593246,12.547042,Jerry; Dan,,
01x03 - The Robbery,17,082e8418962941f89fc94a1d3f62ab1c2c72b978f36f27f1ee3c93fea0917eea,signal,1,8.969602,11.696452,Jerry; George,,
01x03 - The Robbery,18,909802ab660f5a45b27a3c6333b2a4699e0c1d39d628097ec08b5690c617a8da,signal,1,8.296244,11.934572,I'm; This; You're; That,,
01x03 - The Robbery,19,d2b40aa67ff6223c974b082055613abca23e8f4c8eb23d19ed980028a74eaf03,signal,1,7.474193,9.662640,Geez; Congratulations; What; You; Tell; I'm,,
01x03 - The Robbery,20,4a66c509abcc1cc002e401a519732ea418f237cf1acc19a2ea8488c3977b9d6f,signal,1,4.990883,11.398088,Yeah; Okay; Could; All; I'm,,
01x03 - The Robbery,21,163c7b9e818a98f03f7d683ee0a5a0494bf95cfb227bec6369054cbc4c78eac6,signal,1,5.869104,10.711333,Jerry,,
01x03 - The Robbery,22,2aed78096e42ad66ca635d8e6520a108a17731a4a8e1f0027ca285b62dbf88b9,signal,1,8.406441,4.255702,Why; You; I'm; How; It's,,
01x03 - The Robbery,23,d3f2052335d8dea6a03b185dec30cdfe4971069ca9df503e1933c2d0ca468dfa,signal,1,7.672359,3.939312,George,,
01x03 - The Robbery,24,649d8d819029bb8a31b463099fc3465470fcd4f590ba7bd34b497e0dd4843fe6,signal,1,7.134305,3.699136,Georgia; Jerry; Elaine,,
01x03 - The Robbery,25,6e216f469a90e54571b46cd53c69527d2d9d7b30a04c39c64534755e193a3d8d,signal,1,7.144816,5.412602,Well; I'll; Straight; That's; You; Okay,,
01x03 - The Robbery,26,205cb70235f81d1f23458cc7ab094c9a351cb90896c4f730baddf514896ab271,signal,1,7.538273,8.304859,Jerry,,
01x03 - The Robbery,27,e2c824759cca686a157b4975ac7e06418255942874402cacea92602ee2ccd50b,signal,1,1.704828,-1.359192,English,,
01x03 - The Robbery,28,c8bd3c74aab666ca881fcde1780ac6736f52e48a49014b54880175d12d8ef598,signal,1,-3.783164,-5.749712,See; Now; I'm; You; Okay; Starting,,
01x03 - The Robbery,29,9289e5d5bb993776b5f18271b3401b73a7eec60d7c5388fb36a682a586ee4723,signal,1,6.034400,-8.797361,Robert Wagner; French,,
01x03 - The Robbery,30,727bd3710a0800e0661aaaab44dfb6832b0ba4107deefefa7ab3c07b35100b54,signal,1,6.447841,-8.861203,I'm; All; What; How; Look; I'll,,
01x03 - The Robbery,31,6d1d4b06d0b56ed7a8cef2b243ed00c681b3bfbdcef27e42b55ffe8342744ce3,signal,1,-4.154613,8.861510,##rd,,
01x03 - The Robbery,32,edd59c3662b5483f08d4bf8e0c554fc9848d6ee5cde5515be9165ca569e43b28,signal,1,2.718166,10.243213,Larry; George; Elaine; Jerry,,
01x03 - The Robbery,33,4f8f73f770db920720c8bfa00865803daea5b4796a0963bb3b0e50e7c99386c9,signal,1,-3.042214,8.025558,Diane,,
01x03 - The Robbery,34,decaaf64b944285fdc4191fa974b32bdabf8f64964f01fb68b57c7eaa6269e26,signal,1,-4.874012,8.681295,Gilmore; Atlanta,,
01x03 - The Robbery,35,6093cca49a919121780ff3c78713633f75b89334b27e2bd0c2cd0becc6659904,signal,1,-15.032946,-8.985401,Thank,,
01x04 - Male Unbonding,0,d0666fc8c899a2269e07ba275e4b76a594ca4215e2a205f27cbb2e5053fc9a61,signal,1,-10.964341,-11.523470,Jim,,
01x04 - Male Unbonding,1,05664d6407aa16f1b3c35d94a57f91ff1bf6bbb4a4846e8edf014696b2952285,signal,1,-11.849480,-12.774796,Phillips,,
